"altura","genero","contextura_madre","altura_madre"
169.9,"M","mediana",160.5
152.8,"F","mediana",158.4
160.2,"F","bajita",155.9
172.8,"M","mediana",161.7
158.9,"F","alta",165.5
169.7,"M","mediana",162
161.1,"F","alta",162.1
172,"M","bajita",153.8
158.6,"F","mediana",161.4
171.2,"M","bajita",154.7
174.5,"M","alta",162.6
173,"M","mediana",156.2
172.1,"M","mediana",161.2
159.7,"F","mediana",157.1
171.7,"M","mediana",160.4
159.2,"F","mediana",157.1
173,"M","mediana",161.8
161.7,"F","mediana",158.1
158.2,"F","bajita",155.9
178.1,"M","mediana",159.5
174.9,"M","mediana",162
173.3,"M","alta",162.7
158.2,"F","mediana",160.1
154.8,"F","mediana",156.7
173.5,"M","mediana",161.2
172,"M","alta",162.6
163.7,"M","bajita",153.5
173.1,"M","alta",162.2
175.9,"M","mediana",160.1
156.9,"F","mediana",156.6
160.1,"F","alta",163.1
175.2,"M","alta",162.3
174.9,"M","alta",162.3
177.6,"M","mediana",157.4
161.1,"F","mediana",159
155.9,"F","bajita",152.6
173.3,"M","mediana",158.3
170,"M","mediana",158.3
160.3,"F","mediana",160.7
156.8,"F","mediana",159.9
169.4,"M","mediana",158.1
157.2,"F","mediana",160.6
172,"M","mediana",157.3
171.6,"M","bajita",154
159,"F","mediana",156.1
175.6,"M","mediana",159.9
159.2,"F","mediana",157.7
170.3,"M","mediana",161.2
174.4,"M","mediana",158.3
158.9,"F","mediana",162
171.7,"M","mediana",159.9
158.7,"F","bajita",153.8
173.3,"M","mediana",158.3
174,"M","mediana",157
169.7,"M","mediana",158.5
159.9,"F","mediana",160.7
171,"M","bajita",150.6
158.7,"F","mediana",158.2
175.9,"M","mediana",157.8
162.1,"F","mediana",160.8
174.2,"M","mediana",160
156.5,"F","alta",163
165.7,"M","mediana",160.3
173.5,"M","alta",163.9
156.5,"F","mediana",159.3
171.8,"M","mediana",156.5
175.7,"M","mediana",160.5
176.4,"M","mediana",157.8
169.4,"M","mediana",156.7
171.8,"M","mediana",162
169.9,"M","mediana",160.7
173.3,"M","mediana",160.3
153.8,"F","mediana",160.8
170.3,"M","bajita",154.1
162.8,"F","alta",163.2
171.8,"M","mediana",160.5
177.5,"M","alta",163.1
162.1,"F","mediana",158
174.4,"M","mediana",158.1
162,"F","mediana",158
167.1,"F","alta",162.9
159.8,"F","mediana",158.8
173.7,"M","mediana",161.8
171.7,"M","mediana",158.2
160.1,"F","mediana",159.5
171.5,"M","bajita",154.7
156.2,"F","mediana",160.4
175.1,"M","mediana",159.6
172,"M","alta",162.5
157.5,"F","mediana",161
176.9,"M","mediana",159.3
171.5,"M","mediana",160.7
174.4,"M","mediana",161.7
154.5,"F","mediana",159.5
152.2,"F","mediana",158
157.1,"F","mediana",157.1
177.5,"M","alta",162.9
151.5,"F","bajita",153.4
172.6,"M","mediana",157
160.2,"F","alta",163.1
161.9,"F","mediana",157.4
157.3,"F","mediana",157.5
159.1,"F","mediana",159
175,"M","mediana",158.5
163.7,"F","mediana",159.5
157.9,"F","mediana",160.7
159.1,"F","mediana",159
162.7,"F","mediana",161.3
156.1,"F","alta",162.6
172.3,"M","mediana",158.1
161.2,"F","alta",162.3
162.4,"F","alta",162.4
169.5,"M","mediana",159.1
176.7,"M","alta",165.7
159.1,"F","mediana",157.4
160.3,"F","alta",162.2
159,"F","mediana",156.8
158.1,"F","mediana",159
159,"F","mediana",158.2
168.5,"M","mediana",157.9
168.1,"M","mediana",157.7
173.5,"M","mediana",162
175.6,"M","alta",162.7
170.7,"M","mediana",159.7
172.2,"M","mediana",161.5
169.5,"M","mediana",156.9
159.3,"F","mediana",160.8
170.5,"M","mediana",161.6
159.6,"F","bajita",155.9
162.9,"F","alta",163.3
155.4,"F","mediana",157.2
160.3,"F","mediana",160.1
174,"M","alta",164.6
173.2,"M","mediana",160.9
169.8,"M","bajita",155.3
169.1,"M","alta",162.5
166.2,"M","bajita",154.2
162.2,"F","bajita",155.7
158.1,"F","mediana",158.8
167.5,"M","mediana",160.8
157.8,"F","mediana",161
155.3,"F","mediana",160.3
174.4,"M","bajita",155.6
154.1,"F","bajita",155.3
157.7,"F","mediana",157
168.6,"M","mediana",156.7
155.1,"F","mediana",159.1
176.7,"M","mediana",156.4
173.8,"M","alta",162.2
168.8,"M","mediana",156.8
162.7,"F","mediana",161.2
164.3,"F","mediana",158.9
171.2,"M","mediana",161
165.7,"F","mediana",159.2
167.8,"M","mediana",156.5
174.3,"M","mediana",157.8
161.2,"F","alta",162.7
174.1,"M","mediana",159.8
174.7,"M","mediana",160
172.4,"M","mediana",157.1
163.4,"F","mediana",161.2
175.8,"M","mediana",160.3
172.1,"M","mediana",161.5
169.7,"M","mediana",158.4
172,"M","mediana",157.9
168.6,"M","mediana",160.2
171.9,"M","alta",163.2
175,"M","mediana",161.5
160.1,"F","bajita",154.3
171,"M","bajita",153
155.7,"F","mediana",161.1
174.5,"M","alta",164.2
157.6,"F","mediana",157.6
173.3,"M","mediana",159.4
173.2,"M","mediana",157
168.7,"M","bajita",155.5
163.9,"F","mediana",160.1
170.1,"M","mediana",157.6
158.4,"F","mediana",156.9
172.7,"M","alta",163.5
157.9,"F","mediana",158.5
159.5,"F","bajita",155.3
160.1,"F","mediana",162
173.9,"M","mediana",161.2
174.8,"M","mediana",156.7
175.7,"M","mediana",157
170.5,"M","mediana",157.4
173.9,"M","mediana",156
172.4,"M","mediana",161.5
174.9,"M","mediana",161.4
157.3,"F","mediana",158.4
157.7,"F","mediana",156.8
158.4,"F","alta",162.5
158.3,"F","mediana",158.2
161.5,"F","alta",162.5
155,"F","mediana",159.1
171.3,"M","alta",163.7
177.2,"M","alta",166.4
173.5,"M","mediana",158.9
157.8,"F","mediana",160.1
